,handle,solvedCount,voteCount,class,tier,ratingByProblemsSum,university
2dongwook,2dongwook,46,0,2,8,318,중앙대학교
2duckho,2duckho,106,0,0,12,984,고려대학교
2eeeyj,2eeeyj,388,0,5,16,1257,국민대학교
2eesh,2eesh,322,0,3,14,1143,아주대학교
2g1210,2g1210,75,0,1,7,245,숭실대학교
2h2,2h2,5,0,0,0,9,서울대학교
2haeinyi,2haeinyi,87,0,1,9,425,숭실대학교
2k1m,2k1m,114,0,1,9,506,서울대학교
2minbrother,2minbrother,224,0,5,16,1360,숭실대학교
2monica9,2monica9,12,0,0,2,73,성균관대학교
2nn300hu,2nn300hu,267,40,4,18,1627,서울대학교
2ppne,2ppne,593,0,5,16,1332,고려대학교
2riing,2riing,285,0,4,14,968,아주대학교
2sungj0,2sungj0,152,0,3,15,1227,서강대학교
2swj1202,2swj1202,193,0,2,12,854,KAIST
2tae,2tae,569,0,5,17,1428,고려대학교
2unhi,2unhi,91,0,1,7,263,중앙대학교
2uwls1126,2uwls1126,318,0,2,11,738,성균관대학교
2wndrhs,2wndrhs,13,0,0,3,85,숭실대학교
2woohyuk,2woohyuk,56,0,1,6,221,숭실대학교
3004yechan,3004yechan,47,0,2,7,289,국민대학교
31lie,31lie,2,0,0,0,16,경북대학교
3224jun,3224jun,5,0,0,0,5,성균관대학교
327aem,327aem,177,0,2,12,924,서강대학교
328020,328020,132,0,3,10,588,성균관대학교
34stbr01776,34stbr01776,85,0,1,7,251,숭실대학교
3587jjh,3587jjh,2532,12,7,22,1964,연세대학교
36david07,36david07,471,2,4,16,1298,서강대학교
37aster,37aster,256,22,5,16,1374,서강대학교
3846chs,3846chs,356,0,4,16,1395,KAIST
3minka,3minka,35,0,0,6,232,서강대학교
3rlaalstn,3rlaalstn,56,0,1,6,181,성균관대학교
3sirn3203,3sirn3203,444,0,5,17,1400,고려대학교
4011hjs,4011hjs,1781,0,6,21,1892,KAIST
4225qwqw,4225qwqw,380,5,4,16,1370,연세대학교
42_jakang,42_jakang,254,0,5,17,1429,한양대학교
4500moon,4500moon,18,0,0,1,22,고려대학교
455ajin,455ajin,34,0,1,6,164,고려대학교
47ag,47ag,85,0,2,8,300,한양대학교
4840sss,4840sss,111,0,1,8,305,국민대학교
